"","country","Sex","Year","Age","mu","delta","fx","spx","vs","sEx","ax","hp","hc","dp","dc","Hp","Hc","Dp","Dc","rho","phi","xt"
"3059","England and Wales","Males",1999,83,0.118864518182306,0.0491613985450223,0.0436000987362035,0.388605042169509,0.387527240397797,0.150595039596619,5.09932658799087,0.542413639569461,17.1598528368837,0.160797400404563,17.1598528368837,0.106369660818914,3.36512136274932,0.0315330657156275,3.36512136274932,0.0201908072210773,0.10988185814504,2
"3060","England and Wales","Males",1999,84,0.131231246380998,0.0487354207972889,0.0424875797135948,0.345004943433306,0.369015162673439,0.127312055324182,4.84901644440502,0.451133619124666,14.2985470845479,0.12304472590668,14.2985470845479,0.0930361083112434,2.94875203012482,0.0253751925400569,2.94875203012482,0.018453544164148,0.110474457648031,2
"3061","England and Wales","Males",1999,85,0.14468285271866,0.0483187848336273,0.0408163613789453,0.302517363719711,0.351535475305761,0.106345585243454,4.60786588735182,0.370119551159767,11.7523059780643,0.0929584865265647,11.7523059780643,0.080323420908519,2.55048785389421,0.0201738698128623,2.55048785389421,0.0167449612469344,0.11101596168347,2
"3062","England and Wales","Males",1999,86,0.159175327631265,0.0479288385379856,0.0385854194015094,0.261701002340765,0.335018857052888,0.0876747706937984,4.37618035649409,0.299221163430645,9.51904868795175,0.0692810162710123,9.51904868795175,0.0683749615087531,2.17519569864753,0.0158313896199917,2.17519569864753,0.0152485542048855,0.111556229405592,2
"3063","England and Wales","Males",1999,87,0.174730365450194,0.0475856598773226,0.0358527824542872,0.223115582939256,0.319395316021338,0.0712620721221688,4.15376412390963,0.238148676744277,7.59020373268819,0.050891650299139,7.59020373268819,0.0573332210592944,1.82730735455052,0.0122519355411155,1.82730735455052,0.0140403080685996,0.112128428939634,2
"3064","England and Wales","Males",1999,88,0.191514663211596,0.0473069413186068,0.032729484104279,0.187262800484969,0.304595074561659,0.0570393266763441,3.94015461875297,0.18642746839441,5.95117607387831,0.0368060171429347,5.95117607387831,0.0473147595546422,1.51039150736724,0.00934126213417065,1.51039150736724,0.0130565476605489,0.112723711314087,2
"3065","England and Wales","Males",1999,89,0.209752567016556,0.0471020394627028,0.029337003865726,0.15453331638069,0.290550901064815,0.0448997943189436,3.73508258382504,0.143385741652998,4.58223223364605,0.0261740769715558,4.58223223364605,0.0383889079920046,1.22680881367647,0.00700763005479557,1.22680881367647,0.0122242640762378,0.113283654682835,2
"3066","England and Wales","Males",1999,90,0.229728427678491,0.046968515165809,0.0257978968812383,0.125196312514964,0.277201173979052,0.0347045648069962,3.53857327247949,0.108209304909486,3.45973737567246,0.0182748558310614,3.45973737567246,0.0305799248954548,0.977720993537096,0.00516447009114952,0.977720993537096,0.0114704484113718,0.113737563653886,2
"3067","England and Wales","Males",1999,91,0.251796843800777,0.0468934844822318,0.0222295429574589,0.0993984156337256,0.264492396082931,0.0262901251178112,3.3510711819468,0.07999758679656,2.55741869069056,0.0125069039783853,2.55741869069056,0.0238722433672941,0.763164538094003,0.00373221077659098,0.763164538094003,0.0107223122795337,0.11405954901925,2
"3068","England and Wales","Males",1999,92,0.276169265413953,0.0468602406883467,0.0187259104176961,0.0771688726762667,0.252379937360899,0.0194758752522474,3.17366766492967,0.0578142645497742,1.84758531250965,0.00837558421344397,1.84758531250965,0.0182168615790007,0.582160927852096,0.00263908672795126,0.582160927852096,0.00992412885379188,0.11426041519405,2
