"","country","Sex","Year","ax","rhobar","phibar","H","D","Dc","mort","int","adot"
"255","England and Wales","Males",1869,9.00399117722053,-0.00109336586524526,0.00270041114677288,0.556777665293398,0.235962946509157,7.19335554229443,-0.000608761693762752,0.0006371969709787,2.84352772159479e-05
"256","England and Wales","Males",1870,8.99195428421655,-0.00366623175698242,0.00236738567648922,0.559159973994703,0.235460600583183,7.19505479643891,-0.00205001005389285,0.000557426053198176,-0.00149258400069467
"257","England and Wales","Males",1871,8.96428863480408,-0.00727548496759345,0.0021490145627511,0.56166125371237,0.234522199926364,7.18179696233279,-0.00408635800826404,0.000503991622930181,-0.00358236638533386
"258","England and Wales","Males",1872,8.92550267992975,-0.0100638528813822,0.00241076238252503,0.564155092559338,0.233131048526994,7.15642725939445,-0.00567757385379971,0.000562023561987495,-0.00511555029181221
"259","England and Wales","Males",1873,8.88350624352952,-0.0112389552296272,0.00324883382088036,0.566503539388772,0.23136041579175,7.12518510015956,-0.00636690791661578,0.000751651543637182,-0.00561525637297859
"260","England and Wales","Males",1874,8.84616345790221,-0.0107508680579736,0.0045973502282236,0.568541709903529,0.22930084897837,7.09429692464209,-0.00611231690862753,0.00105417631038258,-0.00505814059824495
"261","England and Wales","Males",1875,8.82102294509601,-0.00853702737950194,0.00616871274958597,0.570041210132706,0.227102767513495,7.06976801647792,-0.00486645741834733,0.00140093173742675,-0.00346552568092058
"262","England and Wales","Males",1876,8.815175822595,-0.00469160521500244,0.00789913083329345,0.570765087845108,0.224914095038202,7.05715991284774,-0.00267780446267543,0.00177662586295856,-0.000901178599716876
"263","England and Wales","Males",1877,8.82982403831755,-0.000634399260823511,0.00980355777136274,0.570744713221063,0.222732982019646,7.05757412574334,-0.00036208002418637,0.00218357565681749,0.00182149563263112
"264","England and Wales","Males",1878,8.86226021268325,0.00270653748503591,0.0119056857554007,0.570206283945836,0.220459902942872,7.06921356542552,0.00154328468170244,0.00262472632610397,0.0041680110078064
"265","England and Wales","Males",1879,8.90952957599613,0.00533505000901072,0.0140664291705488,0.56937589614566,0.218025785354669,7.0901973306117,0.00303764887986239,0.00306684426704472,0.00610449314690711
"266","England and Wales","Males",1880,8.96776779262674,0.00729138836000102,0.0156435385131521,0.568420245909189,0.215492062555847,7.1182894434551,0.00414457276461118,0.00337105837987099,0.00751563114448217
"267","England and Wales","Males",1881,9.03279238562719,0.00857308141434272,0.0164401725319716,0.567496902282018,0.212958990963217,7.15122136710709,0.00486519714565104,0.00350108255366987,0.00836627969932091
"268","England and Wales","Males",1882,9.0973579872276,0.00849482793700412,0.0164030353399505,0.566878370636303,0.210484046837492,7.18500664808527,0.00481553421976464,0.00345257725877117,0.00826811147853581
"269","England and Wales","Males",1883,9.15101407866198,0.00638362755535582,0.0154642087627697,0.566923135572207,0.208081959797537,7.21370601678251,0.00361902615000747,0.00321782286607536,0.00683684901608283
"270","England and Wales","Males",1884,9.1833707494131,0.00222735501266101,0.0138147660973965,0.567978732814633,0.205726243005892,7.2312500867542,0.00126509027761952,0.00284205992722255,0.00410715020484207
"271","England and Wales","Males",1885,9.18554310819746,-0.00396557032696492,0.0124284588261786,0.570471644235235,0.203212720993464,7.23222932459772,-0.00226224542475414,0.00252562093582297,0.000263375511068837
"272","England and Wales","Males",1886,9.14916361430664,-0.0121695662783067,0.0115813373822362,0.574876540982613,0.200299106414673,7.21157326922961,-0.00699599816733159,0.00231973152874876,-0.00467626663858283
"273","England and Wales","Males",1887,9.07753768550872,-0.0197703359477063,0.0112183333617943,0.581131654560693,0.196959348103825,7.17132932655188,-0.0114891680405113,0.00220955562575039,-0.00927961241476095
